id,client.bytes,network.bytes,numbers_in_hostname,hostname_entropy,alexa_1m_rating
0,32.0,80,0,3.18,9999999
1,41.0,218,0,3.24,9999999
2,42.0,42,0,3.86,9999999
3,37.0,37,0,3.43,9999999
4,39.0,39,0,3.84,9999999
5,32.0,80,0,3.32,9999999
6,42.0,100,0,2.87,9999999
7,31.0,78,0,2.87,9999999
8,48.0,137,0,3.92,9999999
9,34.0,174,0,3.2,9999999
10,42.0,100,0,3.66,9999999
11,42.0,187,1,3.55,9999999
12,50.0,257,0,3.33,9999999
13,31.0,165,1,3.55,9999999
14,78.0,186,8,3.9,9999999
15,47.0,184,4,3.87,9999999
16,39.0,126,0,3.33,9999999
17,38.0,124,0,3.17,9999999
18,51.0,118,0,3.7,9999999
19,40.0,96,0,3.7,9999999
20,41.0,168,0,3.76,9999999
21,38.0,160,1,3.68,9999999
22,38.0,204,1,3.68,9999999
23,,96,0,3.32,9999999
24,,96,0,3.32,9999999
25,44.0,166,0,3.46,9999999
26,57.0,174,1,3.82,9999999
27,46.0,309,1,3.73,9999999
28,46.0,199,0,3.27,9999999
29,52.0,120,5,3.68,9999999
30,34.0,166,0,3.5,9999999
31,90.0,262,11,4.51,9999999
32,79.0,240,11,4.51,9999999
33,50.0,156,1,3.46,9999999
34,39.0,134,1,3.46,9999999
35,32.0,80,0,3.18,9999999
36,50.0,156,1,3.46,9999999
37,39.0,134,1,3.46,9999999
38,50.0,156,1,3.46,9999999
39,39.0,134,1,3.46,9999999
40,84.0,367,1,4.08,9999999
41,73.0,345,1,4.08,9999999
42,58.0,197,3,4.0,9999999
43,47.0,175,3,4.0,9999999
44,53.0,170,0,3.69,9999999
45,42.0,148,0,3.69,9999999
46,42.0,144,0,3.41,9999999
47,50.0,132,1,3.46,9999999
48,50.0,132,1,3.46,9999999
49,39.0,110,1,3.46,9999999
50,39.0,110,1,3.46,9999999
51,50.0,228,1,3.78,9999999
52,31.0,216,1,3.24,9999999
53,32.0,200,0,3.38,9999999
54,58.0,180,3,4.0,9999999
55,47.0,158,3,4.0,9999999
56,43.0,134,1,3.52,9999999
57,32.0,112,1,3.52,9999999
58,53.0,171,1,3.64,9999999
59,50.0,228,0,3.37,9999999
60,42.0,149,1,3.64,9999999
61,39.0,206,0,3.37,9999999
62,45.0,154,1,3.81,9999999
63,93.0,245,20,4.48,9999999
64,82.0,223,20,4.48,9999999
65,42.0,100,1,3.64,9999999
66,41.0,168,0,3.76,9999999
67,32.0,133,0,3.38,9999999
68,42.0,100,0,3.03,9999999
69,31.0,78,0,3.03,9999999
70,44.0,148,0,3.19,9999999
71,33.0,126,0,3.19,9999999
72,47.0,110,1,3.84,9999999
73,51.0,247,0,3.76,9999999
74,67.0,282,0,3.76,9999999
